corner,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,corner
floor,shelf,floor,floor,floor,shelf,floor,floor,floor,shelf,floor,floor,floor,floor
floor,shelf,floor,floor,floor,shelf,floor,floor,floor,shelf,floor,floor,floor,floor
floor,shelf,floor,floor,floor,shelf,floor,floor,floor,shelf,floor,floor,floor,floor
floor,shelf,floor,floor,floor,shelf,floor,floor,floor,shelf,floor,floor,floor,floor
floor,shelf,floor,floor,floor,shelf,floor,floor,floor,shelf,floor,floor,floor,floor
floor,shelf,floor,floor,floor,shelf,floor,floor,floor,shelf,floor,floor,floor,floor
floor,shelf,floor,floor,floor,shelf,floor,floor,floor,shelf,floor,floor,floor,floor
floor,shelf,floor,floor,floor,shelf,floor,floor,floor,shelf,floor,floor,floor,floor
corner,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,floor,corner
